Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
AB-192-1921030-Grundlagen Technik;;;;31 14:00-17:30;;;
;1;AB-192-1921030-Grundlagen Technik;AB-192-1921040-Grundlagen Darstellung 1;29 11:30-13:00;102;049
;2;AB-192-1921030-Grundlagen Technik;AB-192-1922020-Grundlagen Tragwerk;30 14:00-16:00;24;022
;3;AB-192-1921030-Grundlagen Technik;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;7;091
;4;AB-192-1921030-Grundlagen Technik;AB-192-1926030-Fremdsprache;Kein Datum gef;7;
;5;AB-192-1921030-Grundlagen Technik;AB-192-1927640-Kommunalrecht;27 9:00-10:00;2;100
AB-192-1921040-Grundlagen Darstellung 1;;;;29 11:30-13:00;;;
;1;AB-192-1921040-Grundlagen Darstellung 1;AB-192-1921030-Grundlagen Technik;31 14:00-17:30;102;049
;2;AB-192-1921040-Grundlagen Darstellung 1;AB-192-1922020-Grundlagen Tragwerk;30 14:00-16:00;12;025
;3;AB-192-1921040-Grundlagen Darstellung 1;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;6;041
;4;AB-192-1921040-Grundlagen Darstellung 1;AB-192-1924040-Bauorganisation;06 8:30-10:00;1;187
;5;AB-192-1921040-Grundlagen Darstellung 1;AB-192-1926030-Fremdsprache;Kein Datum gef;7;
AB-192-1922020-Grundlagen Tragwerk;;;;30 14:00-16:00;;;
;1;AB-192-1922020-Grundlagen Tragwerk;AB-192-1921030-Grundlagen Technik;31 14:00-17:30;24;022
;2;AB-192-1922020-Grundlagen Tragwerk;AB-192-1921040-Grundlagen Darstellung 1;29 11:30-13:00;12;025
;3;AB-192-1922020-Grundlagen Tragwerk;AB-192-1926030-Fremdsprache;Kein Datum gef;16;
AB-192-1923020-Grundlagen Entwerfen 3;;;;27 17:00-18:30;;;
;1;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1921030-Grundlagen Technik;31 14:00-17:30;7;091
;2;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1921040-Grundlagen Darstellung 1;29 11:30-13:00;6;041
;3;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;3;206
;4;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1924040-Bauorganisation;06 8:30-10:00;5;230
;5;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1925010-Recht;07 14:00-15:30;3;259
;6;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1926030-Fremdsprache;Kein Datum gef;33;
;7;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1927440-Vertragsrecht;06 11:30-12:30;2;233
;8;AB-192-1923020-Grundlagen Entwerfen 3;AB-192-1927640-Kommunalrecht;27 9:00-10:00;1;007
AB-192-1924020-Grundlagen Entwerfen 4;;;;05 8:30-10:00;;;
;1;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;3;206
;2;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1924040-Bauorganisation;06 8:30-10:00;20;022
;3;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1925010-Recht;07 14:00-15:30;30;052
;4;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1926030-Fremdsprache;Kein Datum gef;13;
;5;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1927440-Vertragsrecht;06 11:30-12:30;1;025
;6;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1927530-Fremdsprache;Kein Datum gef;1;
;7;AB-192-1924020-Grundlagen Entwerfen 4;AB-192-1929999-Fremdsprache III;Kein Datum gef;1;
;8;AB-192-1924020-Grundlagen Entwerfen 4;SP-171-17880-Stadtbaugeschichte;Kein Datum gef;2;
;9;AB-192-1924020-Grundlagen Entwerfen 4;SP-171-18670-Fremdsprache;Kein Datum gef;2;
AB-192-1924040-Bauorganisation;;;;06 8:30-10:00;;;
;1;AB-192-1924040-Bauorganisation;AB-192-1921040-Grundlagen Darstellung 1;29 11:30-13:00;1;187
;2;AB-192-1924040-Bauorganisation;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;5;230
;3;AB-192-1924040-Bauorganisation;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;20;022
;4;AB-192-1924040-Bauorganisation;AB-192-1925010-Recht;07 14:00-15:30;17;028
;5;AB-192-1924040-Bauorganisation;AB-192-1926030-Fremdsprache;Kein Datum gef;12;
AB-192-1925010-Recht;;;;07 14:00-15:30;;;
;1;AB-192-1925010-Recht;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;3;259
;2;AB-192-1925010-Recht;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;30;052
;3;AB-192-1925010-Recht;AB-192-1924040-Bauorganisation;06 8:30-10:00;17;028
;4;AB-192-1925010-Recht;AB-192-1926030-Fremdsprache;Kein Datum gef;8;
;5;AB-192-1925010-Recht;AB-192-1927440-Vertragsrecht;06 11:30-12:30;1;025
;6;AB-192-1925010-Recht;AB-192-1927530-Fremdsprache;Kein Datum gef;1;
;7;AB-192-1925010-Recht;AB-192-1929999-Fremdsprache III;Kein Datum gef;1;
AB-192-1926030-Fremdsprache;;;;Kein Datum gef;;
;1;AB-192-1926030-Fremdsprache;AB-192-1921030-Grundlagen Technik;31 14:00-17:30;7;
;2;AB-192-1926030-Fremdsprache;AB-192-1921040-Grundlagen Darstellung 1;29 11:30-13:00;7;
;3;AB-192-1926030-Fremdsprache;AB-192-1922020-Grundlagen Tragwerk;30 14:00-16:00;16;
;4;AB-192-1926030-Fremdsprache;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;33;
;5;AB-192-1926030-Fremdsprache;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;13;
;6;AB-192-1926030-Fremdsprache;AB-192-1924040-Bauorganisation;06 8:30-10:00;12;
;7;AB-192-1926030-Fremdsprache;AB-192-1925010-Recht;07 14:00-15:30;8;
;8;AB-192-1926030-Fremdsprache;AB-192-1927440-Vertragsrecht;06 11:30-12:30;1;
;9;AB-192-1926030-Fremdsprache;AB-192-1927530-Fremdsprache;Kein Datum gef;1;
AB-192-1927440-Vertragsrecht;;;;06 11:30-12:30;;;
;1;AB-192-1927440-Vertragsrecht;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;2;233
;2;AB-192-1927440-Vertragsrecht;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;1;025
;3;AB-192-1927440-Vertragsrecht;AB-192-1925010-Recht;07 14:00-15:30;1;025
;4;AB-192-1927440-Vertragsrecht;AB-192-1926030-Fremdsprache;Kein Datum gef;1;
AB-192-1927530-Fremdsprache;;;;Kein Datum gef;;
;1;AB-192-1927530-Fremdsprache;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;1;
;2;AB-192-1927530-Fremdsprache;AB-192-1925010-Recht;07 14:00-15:30;1;
;3;AB-192-1927530-Fremdsprache;AB-192-1926030-Fremdsprache;Kein Datum gef;1;
;4;AB-192-1927530-Fremdsprache;BB-192-601926030-Projektbasierte Produktion;04 11:00-13:00;1;
;5;AB-192-1927530-Fremdsprache;BB-192-601926040-Baubetriebswirtschaft I;27 11:30-12:30;1;
;6;AB-192-1927530-Fremdsprache;BB-192-601926050-Baubetriebsführung;07 11:30-12:30;1;
;7;AB-192-1927530-Fremdsprache;BB-192-601927030-Lean Construction;28 17:30-18:30;1;
AB-192-1927640-Kommunalrecht;;;;27 9:00-10:00;;;
;1;AB-192-1927640-Kommunalrecht;AB-192-1921030-Grundlagen Technik;31 14:00-17:30;2;100
;2;AB-192-1927640-Kommunalrecht;AB-192-1923020-Grundlagen Entwerfen 3;27 17:00-18:30;1;007
AB-192-1929999-Fremdsprache III;;;;Kein Datum gef;;
;1;AB-192-1929999-Fremdsprache III;AB-192-1924020-Grundlagen Entwerfen 4;05 8:30-10:00;1;
;2;AB-192-1929999-Fremdsprache III;AB-192-1925010-Recht;07 14:00-15:30;1;
BAK-232-17100-Algebra;;;;25 9:30-11:30;;;
;1;BAK-232-17100-Algebra;BAK-232-1252323010-Stochastik;03 14:00-16:00;4;218
;2;BAK-232-17100-Algebra;BAK-232-1252323030-Software Engineering;28 8:30-10:30;3;069
BAK-232-1252321010-Analysis 1;;;;30 11:00-13:00;;;
;1;BAK-232-1252321010-Analysis 1;BAK-232-1252321020-Lineare Algebra 1;03 8:30-10:30;18;091
;2;BAK-232-1252321010-Analysis 1;BAK-232-1252321030-Grundlagen Informatik 1;07 14:00-16:00;16;193
;3;BAK-232-1252321010-Analysis 1;BAK-232-1252322010-Analysis 2;06 14:00-16:00;1;169
;4;BAK-232-1252321010-Analysis 1;BAK-232-1252322020-Lineare Algebra 2;31 8:30-10:30;4;019
;5;BAK-232-1252321010-Analysis 1;BAK-232-1252322040-Einführung in die Statistik;29 9:00-10:00;5;025
BAK-232-1252321020-Lineare Algebra 1;;;;03 8:30-10:30;;;
;1;BAK-232-1252321020-Lineare Algebra 1;BAK-232-1252321010-Analysis 1;30 11:00-13:00;18;091
;2;BAK-232-1252321020-Lineare Algebra 1;BAK-232-1252321030-Grundlagen Informatik 1;07 14:00-16:00;18;099
;3;BAK-232-1252321020-Lineare Algebra 1;BAK-232-1252322010-Analysis 2;06 14:00-16:00;1;075
;4;BAK-232-1252321020-Lineare Algebra 1;BAK-232-1252322020-Lineare Algebra 2;31 8:30-10:30;1;070
BAK-232-1252321030-Grundlagen Informatik 1;;;;07 14:00-16:00;;;
;1;BAK-232-1252321030-Grundlagen Informatik 1;BAK-232-1252321010-Analysis 1;30 11:00-13:00;16;193
;2;BAK-232-1252321030-Grundlagen Informatik 1;BAK-232-1252321020-Lineare Algebra 1;03 8:30-10:30;18;099
;3;BAK-232-1252321030-Grundlagen Informatik 1;BAK-232-1252322010-Analysis 2;06 14:00-16:00;2;022
;4;BAK-232-1252321030-Grundlagen Informatik 1;BAK-232-1252322020-Lineare Algebra 2;31 8:30-10:30;2;171
;5;BAK-232-1252321030-Grundlagen Informatik 1;BAK-232-1252322040-Einführung in die Statistik;29 9:00-10:00;3;220
BAK-232-1252322010-Analysis 2;;;;06 14:00-16:00;;;
;1;BAK-232-1252322010-Analysis 2;BAK-232-1252321010-Analysis 1;30 11:00-13:00;1;169
;2;BAK-232-1252322010-Analysis 2;BAK-232-1252321020-Lineare Algebra 1;03 8:30-10:30;1;075
;3;BAK-232-1252322010-Analysis 2;BAK-232-1252321030-Grundlagen Informatik 1;07 14:00-16:00;2;022
;4;BAK-232-1252322010-Analysis 2;BAK-232-1252322020-Lineare Algebra 2;31 8:30-10:30;8;147
;5;BAK-232-1252322010-Analysis 2;BAK-232-1252322040-Einführung in die Statistik;29 9:00-10:00;6;196
BAK-232-1252322020-Lineare Algebra 2;;;;31 8:30-10:30;;;
;1;BAK-232-1252322020-Lineare Algebra 2;BAK-232-1252321010-Analysis 1;30 11:00-13:00;4;019
;2;BAK-232-1252322020-Lineare Algebra 2;BAK-232-1252321020-Lineare Algebra 1;03 8:30-10:30;1;070
;3;BAK-232-1252322020-Lineare Algebra 2;BAK-232-1252321030-Grundlagen Informatik 1;07 14:00-16:00;2;171
;4;BAK-232-1252322020-Lineare Algebra 2;BAK-232-1252322010-Analysis 2;06 14:00-16:00;8;147
;5;BAK-232-1252322020-Lineare Algebra 2;BAK-232-1252322040-Einführung in die Statistik;29 9:00-10:00;9;046
BAK-232-1252322040-Einführung in die Statistik;;;;29 9:00-10:00;;;
;1;BAK-232-1252322040-Einführung in die Statistik;BAK-232-1252321010-Analysis 1;30 11:00-13:00;5;025
;2;BAK-232-1252322040-Einführung in die Statistik;BAK-232-1252321030-Grundlagen Informatik 1;07 14:00-16:00;3;220
;3;BAK-232-1252322040-Einführung in die Statistik;BAK-232-1252322010-Analysis 2;06 14:00-16:00;6;196
;4;BAK-232-1252322040-Einführung in die Statistik;BAK-232-1252322020-Lineare Algebra 2;31 8:30-10:30;9;046
BAK-232-1252323010-Stochastik;;;;03 14:00-16:00;;;
;1;BAK-232-1252323010-Stochastik;BAK-232-1252323030-Software Engineering;28 8:30-10:30;7;147
;2;BAK-232-1252323010-Stochastik;BAK-232-1252323050-Finanzmathematik 1;Kein Datum gef;1;
;3;BAK-232-1252323010-Stochastik;BAK-232-17100-Algebra;25 9:30-11:30;4;218
BAK-232-1252323030-Software Engineering;;;;28 8:30-10:30;;;
;1;BAK-232-1252323030-Software Engineering;BAK-232-1252323010-Stochastik;03 14:00-16:00;7;147
;2;BAK-232-1252323030-Software Engineering;BAK-232-1252323050-Finanzmathematik 1;Kein Datum gef;1;
;3;BAK-232-1252323030-Software Engineering;BAK-232-17100-Algebra;25 9:30-11:30;3;069
BAK-232-1252323050-Finanzmathematik 1;;;;Kein Datum gef;;
;1;BAK-232-1252323050-Finanzmathematik 1;BAK-232-1252323010-Stochastik;03 14:00-16:00;1;
;2;BAK-232-1252323050-Finanzmathematik 1;BAK-232-1252323030-Software Engineering;28 8:30-10:30;1;
BAK-2323-1252321010-Analysis 1;;;;30 11:00-13:00;;;
;1;BAK-2323-1252321010-Analysis 1;BAK-2323-1252321020-Lineare Algebra 1;03 8:30-10:30;2;091
BAK-2323-1252321020-Lineare Algebra 1;;;;03 8:30-10:30;;;
;1;BAK-2323-1252321020-Lineare Algebra 1;BAK-2323-1252321010-Analysis 1;30 11:00-13:00;2;091
BAK-2323-1252322010-Analysis 2;;;;06 14:00-16:00;;;
;1;BAK-2323-1252322010-Analysis 2;BAK-2323-1252322020-Grundlagen Informatik 1;07 14:00-16:00;1;022
;2;BAK-2323-1252322010-Analysis 2;BAK-2323-1252322030-Einführung in die Statistik;29 9:00-10:00;1;196
;3;BAK-2323-1252322010-Analysis 2;BAK-2323-1252323010-Lineare Algebra 2;31 8:30-10:30;1;147
BAK-2323-1252322020-Grundlagen Informatik 1;;;;07 14:00-16:00;;;
;1;BAK-2323-1252322020-Grundlagen Informatik 1;BAK-2323-1252322010-Analysis 2;06 14:00-16:00;1;022
;2;BAK-2323-1252322020-Grundlagen Informatik 1;BAK-2323-1252322030-Einführung in die Statistik;29 9:00-10:00;1;220
;3;BAK-2323-1252322020-Grundlagen Informatik 1;BAK-2323-1252323010-Lineare Algebra 2;31 8:30-10:30;1;171
BAK-2323-1252322030-Einführung in die Statistik;;;;29 9:00-10:00;;;
;1;BAK-2323-1252322030-Einführung in die Statistik;BAK-2323-1252322010-Analysis 2;06 14:00-16:00;1;196
;2;BAK-2323-1252322030-Einführung in die Statistik;BAK-2323-1252322020-Grundlagen Informatik 1;07 14:00-16:00;1;220
;3;BAK-2323-1252322030-Einführung in die Statistik;BAK-2323-1252323010-Lineare Algebra 2;31 8:30-10:30;2;046
BAK-2323-1252323010-Lineare Algebra 2;;;;31 8:30-10:30;;;
;1;BAK-2323-1252323010-Lineare Algebra 2;BAK-2323-1252322010-Analysis 2;06 14:00-16:00;1;147
;2;BAK-2323-1252323010-Lineare Algebra 2;BAK-2323-1252322020-Grundlagen Informatik 1;07 14:00-16:00;1;171
;3;BAK-2323-1252323010-Lineare Algebra 2;BAK-2323-1252322030-Einführung in die Statistik;29 9:00-10:00;2;046
BAM-222-17100-Algebra;;;;25 9:30-11:30;;;
;1;BAM-222-17100-Algebra;BAM-222-1222223010-Numerik;01 11:00-13:00;1;167
;2;BAM-222-17100-Algebra;BAM-222-1222223020-Software Engineering;28 8:30-10:30;1;069
;3;BAM-222-17100-Algebra;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;1;309
