Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
1_Wissen.--.11921050.--.192.--.IB;;;;04 17:00-18:00;;;
;1;1_Wissen.--.11921050.--.192.--.IB;3_Designgeschichte.--.11923055.--.192.--.IB;31 9:00-10:00;3;103
;2;1_Wissen.--.11921050.--.192.--.IB;Fremdsprache.--.11921120.--.192.--.IB;Kein Datum gef;1;
2_Wissen.--.11922060.--.192.--.IB;;;;07 11:00-12:00;;;
;1;2_Wissen.--.11922060.--.192.--.IB;3_Designgeschichte.--.11923055.--.192.--.IB;31 9:00-10:00;1;169
3_Designgeschichte.--.11923055.--.192.--.IB;;;;31 9:00-10:00;;;
;1;3_Designgeschichte.--.11923055.--.192.--.IB;1_Wissen.--.11921050.--.192.--.IB;04 17:00-18:00;3;103
;2;3_Designgeschichte.--.11923055.--.192.--.IB;2_Wissen.--.11922060.--.192.--.IB;07 11:00-12:00;1;169
;3;3_Designgeschichte.--.11923055.--.192.--.IB;5_Kunstgeschichte.--.11925045.--.192.--.IB;03 11:00-12:00;7;073
;4;3_Designgeschichte.--.11923055.--.192.--.IB;Fremdsprache.--.11921120.--.192.--.IB;Kein Datum gef;18;
;5;3_Designgeschichte.--.11923055.--.192.--.IB;Vertragsrecht.--.11927440.--.192.--.IB;06 11:30-12:30;2;145
5_Kunstgeschichte.--.11925045.--.192.--.IB;;;;03 11:00-12:00;;;
;1;5_Kunstgeschichte.--.11925045.--.192.--.IB;3_Designgeschichte.--.11923055.--.192.--.IB;31 9:00-10:00;7;073
;2;5_Kunstgeschichte.--.11925045.--.192.--.IB;Fremdsprache.--.11921120.--.192.--.IB;Kein Datum gef;1;
Abfallwirtschaft.--.622227050.--.222.--.IM;;;;29 17:00-18:00;;;
;1;Abfallwirtschaft.--.622227050.--.222.--.IM;Bahntechnik.--.19100.--.222.--.IM;31 14:00-15:00;5;044
;2;Abfallwirtschaft.--.622227050.--.222.--.IM;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;07 11:30-12:30;1;209
;3;Abfallwirtschaft.--.622227050.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;28 11:30-12:30;15;028
;4;Abfallwirtschaft.--.622227050.--.222.--.IM;Community Development Service Learning.--.19300.--.222.--.IM;Kein Datum gef;1;
;5;Abfallwirtschaft.--.622227050.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;31 11:00-12:30;3;041
;6;Abfallwirtschaft.--.622227050.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;25 14:00-15:00;11;098
;7;Abfallwirtschaft.--.622227050.--.222.--.IM;International Relations.--.19290.--.222.--.IM;Kein Datum gef;1;
;8;Abfallwirtschaft.--.622227050.--.222.--.IM;Internationaler ÖPNV.--.19130.--.222.--.IM;06 11:30-12:15;5;185
;9;Abfallwirtschaft.--.622227050.--.222.--.IM;Laborpraktikum im Straßenbauwesen.--.19170.--.222.--.IM;01 14:00-15:00;3;068
